date,open,high,low,close,volume,Name
2013-02-08,15.07,15.12,14.63,14.75,8407500,AAL
2013-02-11,14.89,15.01,14.26,14.46,8882000,AAL
2013-02-12,14.45,14.51,14.1,14.27,8126000,AAL
2013-02-13,14.3,14.94,14.25,14.66,10259500,AAL
2013-02-14,14.94,14.96,13.16,13.99,31879900,AAL
2013-02-15,13.93,14.61,13.93,14.5,15628000,AAL
2013-02-19,14.33,14.56,14.08,14.26,11354400,AAL
2013-02-20,14.17,14.26,13.15,13.33,14725200,AAL
